,Dataset,Model,Next Step,Next Resource,Last Resource,Outcome,Next relative Timestamp,Duration to Outcome,Activity Suffix,Resource Suffix
0,BPIC15_5_under_both,MPPN,0.637360155582428,0.8931263089179993,0.6060744524002075,0.4450787901878357,18.387210845947266,32.798152923583984,,
1,BPIC15_5_under_both,MiDA,0.11715003103017807,0.18680064380168915,0.48435714840888977,0.34437087178230286,16.852649688720703,28.696205139160156,,
2,BPIC15_5_under_both,Camargo_concat,0.28385475277900696,0.7805435061454773,0.48435714840888977,0.34437087178230286,17.324865341186523,34.26773452758789,,
3,Helpdesk_under_both,MPPN,0.7352572083473206,0.4843162000179291,0.4215809404850006,0.5878293514251709,9.340868949890137,9.849165916442871,,
4,Helpdesk_under_both,MiDA,0.6229611039161682,0.25470513105392456,0.22459222376346588,0.4121706485748291,11.057403564453125,9.224214553833008,,
5,Helpdesk_under_both,Camargo_concat,0.6229611039161682,0.25470513105392456,0.22459222376346588,0.4121706485748291,10.270831108093262,10.594399452209473,,
