,Dataset,Model,Balancing Technique,Next Step Acc,Next Step Pre,Next Step Rec,Next Step F1,Next Resource Acc,Next Resource Pre,Next Resource Rec,Next Resource F1,Last Resource Acc,Last Resource Pre,Last Resource Rec,Last Resource F1,Outcome Acc,Outcome Pre,Outcome Rec,Outcome F1,Next relative Timestamp,Duration to Outcome,Activity Suffix,Resource Suffix
0,BPIC12,Camargo_concat,None,0.1666666716337204,0.045454545454545456,0.007575757575757576,0.012987012987012986,0.4523809552192688,0.3506944444444444,0.31321839080459773,0.2531735843674226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7498924136161804,4.76754903793335,,
1,BPIC12,Tax_Spezialized,None,0.0476190485060215,0.045454545454545456,0.0021645021645021645,0.004132231404958677,,,,,,,,,0.0,0.0,0.0,0.0,1.8473310470581055,4.6296706199646,,
2,BPIC12,MiDA,None,0.1666666716337204,0.045454545454545456,0.0077605321507760545,0.01325757575757576,0.1190476194024086,0.16666666666666666,0.01984126984126984,0.035460992907801414,0.0,0.0,0.0,0.0,0.0476190485060215,0.028985507246376812,0.3333333333333333,0.05333333333333334,[1.502363681793213],[5.9401068687438965],,
3,BPIC12,MPPN,None,0.2380952388048172,0.1461038961038961,0.05934343434343435,0.08035714285714285,0.6190476417541504,0.45138888888888884,0.4903381642512078,0.43783993783993785,0.02380952425301075,0.005434782608695652,0.041666666666666664,0.009615384615384614,0.5476190447807312,0.545766590389016,0.5454545454545454,0.5452991452991454,1.8918466567993164,5.067054748535156,,
