,Dataset,Model,Balancing Technique,Next Step Acc,Next Step Pre,Next Step Rec,Next Step F1,Next Resource Acc,Next Resource Pre,Next Resource Rec,Next Resource F1,Last Resource Acc,Last Resource Pre,Last Resource Rec,Last Resource F1,Outcome Acc,Outcome Pre,Outcome Rec,Outcome F1,Next relative Timestamp,Duration to Outcome,Activity Suffix,Resource Suffix
0,BPIC12,Camargo_concat,None,0.2142857164144516,0.09090909090909091,0.017964793826862793,0.029797979797979803,0.4761904776096344,0.3229166666666667,0.19047619047619047,0.23692810457516336,0.0,0.0,0.0,0.0,0.5476190447807312,0.5,0.27380952380952384,0.35384615384615387,2.421637535095215,4.983917236328125,,
1,BPIC12,Tax_Spezialized,None,0.0476190485060215,0.045454545454545456,0.0021645021645021645,0.004132231404958677,,,,,,,,,0.0,0.0,0.0,0.0,4.630951881408691,4.6638922691345215,,
2,BPIC12,MiDA,None,0.1666666716337204,0.045454545454545456,0.007575757575757576,0.012987012987012986,0.1190476194024086,0.16666666666666666,0.01984126984126984,0.035460992907801414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[1.874614953994751],[5.487810134887695],,
3,BPIC12,MPPN,None,0.190476194024086,0.11688311688311687,0.0548951048951049,0.06371507280598189,0.6666666865348816,0.5243055555555555,0.548941798941799,0.5300150829562594,0.0,0.0,0.0,0.0,0.5476190447807312,0.5,0.27380952380952384,0.35384615384615387,1.86643385887146,5.293571949005127,,
